company,sources,headquarters,industry,found_ats,verified_slug,job_count
Fifth Third Bancorp,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Cincinnati, Ohio",Financials,,,0
First Solar,"sp500,sec_edgar","Tempe, Arizona",Information Technology,,,0
FirstEnergy,"sp500,sec_edgar","Akron, Ohio",Utilities,,,0
Fiserv,"sp500,sec_edgar","Brookfield, Wisconsin",Financials,,,0
Ford Motor Company,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Dearborn, Michigan",Consumer Discretionary,,,0
Fortinet,"sp500,sec_edgar","Sunnyvale, California",Information Technology,,,0
Fortive,"sp500,sec_edgar","Everett, Washington",Industrials,,,0
Fox Corporation(Class A),"sp500,sp500,sec_edgar,sec_edgar","New York City, New York",Communication Services,greenhouse,fox,7
Franklin Resources,"sp500,sec_edgar","San Mateo, California",Financials,,,0
Freeport-McMoRan,"sp500,sec_edgar","Phoenix, Arizona",Materials,,,0
Garmin,"sp500,sec_edgar","Schaffhausen, Switzerland",Consumer Discretionary,,,0
Gartner,"sp500,sec_edgar","Stamford, Connecticut",Information Technology,,,0
GE Aerospace,sp500,"Evendale, Ohio",Industrials,,,0
GE HealthCare,sp500,"Chicago, Illinois",Health Care,,,0
GE Vernova,"sp500,sec_edgar","Cambridge, Massachusetts",Industrials,,,0
Gen Digital,"sp500,sec_edgar,sec_edgar","Tempe, Arizona",Information Technology,,,0
Generac,sp500,"Waukesha, Wisconsin",Industrials,,,0
General Dynamics,"sp500,largest_us,sec_edgar","Reston, Virginia",Industrials,greenhouse,general,1
General Mills,"sp500,sec_edgar","Golden Valley, Minnesota",Consumer Staples,greenhouse,general,1
General Motors,"sp500,largest_us,sec_edgar","Detroit, Michigan",Consumer Discretionary,greenhouse,general,1
Genuine Parts Company,"sp500,sec_edgar","Atlanta, Georgia",Consumer Discretionary,,,0
Gilead Sciences,"sp500,sec_edgar","Foster City, California",Health Care,,,0
Global Payments,"sp500,sec_edgar","Atlanta, Georgia",Financials,,,0
Globe Life,"sp500,sec_edgar,sec_edgar","McKinney, Texas",Financials,,,0
GoDaddy,"sp500,sec_edgar","Tempe, Arizona",Information Technology,greenhouse,godaddy,35
Goldman Sachs,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
Halliburton,"sp500,sec_edgar","Houston, Texas",Energy,,,0
Hartford (The),sp500,"Hartford, Connecticut",Financials,,,0
Hasbro,"sp500,sec_edgar","Pawtucket, Rhode Island",Consumer Discretionary,greenhouse,hasbro,83
HCA Healthcare,"sp500,largest_us,sec_edgar","Nashville, Tennessee",Health Care,,,0
Healthpeak Properties,"sp500,sec_edgar","Denver, Colorado",Real Estate,,,0
Henry Schein,"sp500,sec_edgar","Melville, New York",Health Care,greenhouse,hs,28
Hershey Company (The),"sp500,sec_edgar","Hershey, Pennsylvania",Consumer Staples,,,0
Hewlett Packard Enterprise,"sp500,sec_edgar,sec_edgar","Houston, Texas",Information Technology,,,0
Hilton Worldwide,sp500,"Tysons Corner, Virginia",Consumer Discretionary,,,0
Home Depot (The),"sp500,sec_edgar","Atlanta, Georgia",Consumer Discretionary,,,0
Honeywell,sp500,"Charlotte, North Carolina",Industrials,,,0
Hormel Foods,sp500,"Austin, Minnesota",Consumer Staples,,,0
Host Hotels & Resorts,"sp500,sec_edgar","Bethesda, Maryland",Real Estate,,,0
Howmet Aerospace,"sp500,sec_edgar","Pittsburgh, Pennsylvania",Industrials,,,0
HP Inc.,"sp500,largest_us,sec_edgar","Palo Alto, California",Information Technology,,,0
Hubbell Incorporated,sp500,"Shelton, Connecticut",Industrials,,,0
Humana,"sp500,largest_us,sec_edgar","Louisville, Kentucky",Health Care,,,0
Huntington Bancshares,sp500,"Columbus, Ohio;Detroit, Michigan",Financials,,,0
Huntington Ingalls Industries,"sp500,sec_edgar","Newport News, Virginia",Industrials,,,0
IBM,"sp500,largest_us","Armonk, New York",Information Technology,,,0
IDEX Corporation,sp500,"Northbrook, Illinois",Industrials,,,0
Idexx Laboratories,sp500,"Westbrook, Maine",Health Care,,,0
Illinois Tool Works,"sp500,sec_edgar","Glenview, Illinois",Industrials,,,0
Incyte,"sp500,sec_edgar","Wilmington, Delaware",Health Care,,,0
Ingersoll Rand,"sp500,sec_edgar","Davidson, North Carolina",Industrials,,,0
Insulet Corporation,"sp500,sec_edgar","Acton, Massachusetts",Health Care,,,0
Intel,"sp500,largest_us,sec_edgar","Santa Clara, California",Information Technology,,,0
Interactive Brokers,"sp500,sec_edgar","Greenwich, Connecticut",Financials,,,0
Intercontinental Exchange,"sp500,sec_edgar","Atlanta, Georgia",Financials,greenhouse,ie,8
International Flavors & Fragrances,"sp500,sec_edgar","New York City, New York",Materials,greenhouse,international,1
International Paper,sp500,"Memphis, Tennessee",Materials,greenhouse,international,1
