company,sources,industry,headquarters
Citigroup,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Citizens Financial Group,sp500,Financials,"Providence, Rhode Island"
Clorox,sp500,Consumer Staples,"Oakland, California"
CME Group,"sp500,sec_edgar",Financials,"Chicago, Illinois"
CMS Energy,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Utilities,"Jackson, Michigan"
Coca-Cola Company (The),"sp500,largest_us,sec_edgar",Consumer Staples,"Atlanta, Georgia"
Cognizant,sp500,Information Technology,"Teaneck, New Jersey"
Coherent Corp.,"sp500,sec_edgar",Information Technology,"Saxonburg, Pennsylvania"
Coinbase,sp500,Financials,"New York City, New York"
Colgate-Palmolive,"sp500,sec_edgar",Consumer Staples,"New York City, New York"
Comcast,"sp500,largest_us,sec_edgar,sec_edgar",Communication Services,"Philadelphia, Pennsylvania"
Comfort Systems USA,"sp500,sec_edgar",Industrials,"Houston, Texas"
Conagra Brands,"sp500,sec_edgar",Consumer Staples,"Chicago, Illinois"
ConocoPhillips,"sp500,largest_us,sec_edgar",Energy,"Houston, Texas"
Consolidated Edison,"sp500,sec_edgar",Utilities,"New York City, New York"
Constellation Brands,"sp500,sec_edgar",Consumer Staples,"Rochester, New York"
Constellation Energy,"sp500,sec_edgar",Utilities,"Baltimore, Maryland"
Cooper Companies (The),"sp500,sec_edgar",Health Care,"San Ramon, California"
Copart,"sp500,sec_edgar",Industrials,"Dallas, Texas"
Corning Inc.,sp500,Information Technology,"Corning, New York"
Corpay,"sp500,sec_edgar",Financials,"Atlanta, Georgia"
Corteva,"sp500,sec_edgar",Materials,"Indianapolis, Indiana"
CoStar Group,"sp500,sec_edgar",Real Estate,"Washington, D.C."
Costco,sp500,Consumer Staples,"Issaquah, Washington"
CRH plc,sp500,Materials,"Dublin, Ireland"
CrowdStrike,sp500,Information Technology,"Austin, Texas"
Crown Castle,"sp500,sec_edgar",Real Estate,"Houston, Texas"
CSX Corporation,"sp500,sec_edgar",Industrials,"Jacksonville, Florida"
Cummins,"sp500,sec_edgar",Industrials,"Columbus, Indiana"
CVS Health,"sp500,largest_us,sec_edgar",Health Care,"Woonsocket, Rhode Island"
Danaher Corporation,sp500,Health Care,"Washington, D.C."
Darden Restaurants,"sp500,sec_edgar",Consumer Discretionary,"Orlando, Florida"
Datadog,"sp500,sec_edgar",Information Technology,"New York City, New York"
DaVita,"sp500,sec_edgar",Health Care,"Denver, Colorado"
