company,sources,industry,headquarters
"ARVINAS, INC.",sec_edgar,,
"GYRE THERAPEUTICS, INC.",sec_edgar,,
"Kimball Electronics, Inc.",sec_edgar,,
UR-ENERGY INC,sec_edgar,,
HOVNANIAN ENTERPRISES INC,"sec_edgar,sec_edgar,sec_edgar",,
UNIVERSAL HEALTH REALTY INCOME TRUST,sec_edgar,,
EVgo Inc.,"sec_edgar,sec_edgar",,
"Eikon Therapeutics, Inc.",sec_edgar,,
BAR HARBOR BANKSHARES,sec_edgar,,
"EagleRock Land, LLC",sec_edgar,,
AdvanSix Inc.,sec_edgar,,
"Idaho Strategic Resources, Inc.",sec_edgar,,
MESA LABORATORIES INC /CO/,sec_edgar,,
Vireo Growth Inc.,sec_edgar,,
"Latham Group, Inc.",sec_edgar,,
"Clearfield, Inc.",sec_edgar,,
"HYSTER-YALE, INC.",sec_edgar,,
SANDRIDGE ENERGY INC,sec_edgar,,
RAYONIER ADVANCED MATERIALS INC.,sec_edgar,,
"Shutterstock, Inc.",sec_edgar,,
"Krispy Kreme, Inc.",sec_edgar,,
Churchill Capital Corp XI,"sec_edgar,sec_edgar,sec_edgar",,
"AlTi Global, Inc.",sec_edgar,,
"Midland States Bancorp, Inc.","sec_edgar,sec_edgar",,
Invesco Value Municipal Income Trust,sec_edgar,,
VersaBank,sec_edgar,,
Dingdong (Cayman) Ltd,sec_edgar,,
American Exceptionalism Acquisition Corp. A,sec_edgar,,
"Candel Therapeutics, Inc.",sec_edgar,,
OXFORD INDUSTRIES INC,sec_edgar,,
Eaton Vance Risk-Managed Diversified Equity Income Fund,sec_edgar,,
Industrial Logistics Properties Trust,sec_edgar,,
"Onterris, Inc.",sec_edgar,,
"MIMEDX GROUP, INC.",sec_edgar,,
"First Tracks Biotherapeutics, Inc.",sec_edgar,,
"Cabaletta Bio, Inc.",sec_edgar,,
Valneva SE,sec_edgar,,
TACTILE SYSTEMS TECHNOLOGY INC,sec_edgar,,
"MasterCraft Boat Holdings, Inc.",sec_edgar,,
MARCUS CORP,sec_edgar,,
HELEN OF TROY LTD,sec_edgar,,
GABELLI UTILITY TRUST,"sec_edgar,sec_edgar",,
NeuroPace Inc,sec_edgar,,
PRA GROUP INC,sec_edgar,,
ThredUp Inc.,sec_edgar,,
Karat Packaging Inc.,sec_edgar,,
"Velo3D, Inc.","sec_edgar,sec_edgar",,
D. Boral Acquisition I Corp.,"sec_edgar,sec_edgar,sec_edgar",,
ACNB CORP,sec_edgar,,
"TaskUs, Inc.",sec_edgar,,
WESTERN ASSET MANAGED MUNICIPALS FUND INC.,sec_edgar,,
Digi Power X Inc.,sec_edgar,,
Gogo Inc.,sec_edgar,,
RICHTECH ROBOTICS INC.,sec_edgar,,
Waterdrop Inc.,sec_edgar,,
Horizon Quantum Holdings Ltd.,"sec_edgar,sec_edgar",,
"PagerDuty, Inc.",sec_edgar,,
"i3 Verticals, Inc.",sec_edgar,,
"Phreesia, Inc.",sec_edgar,,
PRESIDIO PRODUCTION Co,"sec_edgar,sec_edgar",,
Legacy Housing Corp,sec_edgar,,
"Altimmune, Inc.",sec_edgar,,
UNITY BANCORP INC /NJ/,sec_edgar,,
ADVENT CONVERTIBLE & INCOME FUND,sec_edgar,,
NORTHRIM BANCORP INC,sec_edgar,,
Cars.com Inc.,sec_edgar,,
"Tectonic Therapeutic, Inc.",sec_edgar,,
Invesco Trust for Investment Grade Municipals,sec_edgar,,
"Digital Turbine, Inc.",sec_edgar,,
"OIL STATES INTERNATIONAL, INC",sec_edgar,,
"Mistras Group, Inc.",sec_edgar,,
Bowman Consulting Group Ltd.,sec_edgar,,
FLUSHING FINANCIAL CORP,sec_edgar,,
"Intrepid Potash, Inc.",sec_edgar,,
"MSC INCOME FUND, INC.",sec_edgar,,
CERUS CORP,sec_edgar,,
FIRST NORDIC METALS CORP.,sec_edgar,,
"NERDWALLET, INC.",sec_edgar,,
Calamos Global Dynamic Income Fund,sec_edgar,,
Eagle Point Credit Co Inc.,"sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
REALLOYS INC.,sec_edgar,,
AMTD Digital Inc.,sec_edgar,,
abrdn Life Sciences Investors,sec_edgar,,
Pangaea Logistics Solutions Ltd.,sec_edgar,,
"NIKA PHARMACEUTICALS, INC",sec_edgar,,
NATURAL GAS SERVICES GROUP INC,sec_edgar,,
RIGEL PHARMACEUTICALS INC,sec_edgar,,
SOUTHERN FIRST BANCSHARES INC,sec_edgar,,
AMERICAN COASTAL INSURANCE Corp,sec_edgar,,
Duff & Phelps Utility & Infrastructure Fund Inc.,sec_edgar,,
Julong Holding Ltd,sec_edgar,,
Invesco Municipal Trust,sec_edgar,,
"CRESCENT BIOPHARMA, INC.",sec_edgar,,
MILLER INDUSTRIES INC /TN/,sec_edgar,,
Bally's Corp,sec_edgar,,
TEJON RANCH CO,sec_edgar,,
XOMA Royalty Corp,"sec_edgar,sec_edgar,sec_edgar",,
OOMA INC,sec_edgar,,
Agomab Therapeutics NV,sec_edgar,,
"RE/MAX Holdings, Inc.",sec_edgar,,
Algoma Steel Group Inc.,"sec_edgar,sec_edgar",,
"Aquestive Therapeutics, Inc.",sec_edgar,,
Uxin Ltd,sec_edgar,,
"CIVISTA BANCSHARES, INC.",sec_edgar,,
Chatham Lodging Trust,"sec_edgar,sec_edgar",,
Guggenheim Active Allocation Fund,sec_edgar,,
abrdn World Healthcare Fund,sec_edgar,,
OBOOK HOLDINGS INC.,sec_edgar,,
Chiron Real Estate Inc.,"sec_edgar,sec_edgar,sec_edgar",,
AMERICAN WOODMARK CORP,sec_edgar,,
"Innventure, Inc.","sec_edgar,sec_edgar",,
"Kyverna Therapeutics, Inc.",sec_edgar,,
WESTERN ASSET INFLATION-LINKED OPPORTUNITIES & INCOME FUND,sec_edgar,,
"LendingTree, Inc.",sec_edgar,,
Bridgewater Bancshares Inc,"sec_edgar,sec_edgar",,
Horizon Kinetics Holding Corp,sec_edgar,,
"Consensus Cloud Solutions, Inc.",sec_edgar,,
XMax Inc.,"sec_edgar,sec_edgar",,
"ZEDCOR, INC.",sec_edgar,,
Kearny Financial Corp.,sec_edgar,,
mF International Ltd,sec_edgar,,
Ranpak Holdings Corp.,sec_edgar,,
"SUTRO BIOPHARMA, INC.",sec_edgar,,
BlackRock Enhanced International Dividend Trust,sec_edgar,,
TAT TECHNOLOGIES LTD,sec_edgar,,
BRANDYWINE REALTY TRUST,sec_edgar,,
"Prime Medicine, Inc.",sec_edgar,,
TAIWAN FUND INC,sec_edgar,,
"MALIBU BOATS, INC.",sec_edgar,,
PROKIDNEY CORP.,sec_edgar,,
EACO CORP,sec_edgar,,
"TOYO Co., Ltd","sec_edgar,sec_edgar",,
Capital Bancorp Inc,sec_edgar,,
Invesco Quality Municipal Income Trust,sec_edgar,,
Liberty Gold Corp. /CAN,sec_edgar,,
Blackstone Strategic Credit 2027 Term Fund,sec_edgar,,
G WILLI FOOD INTERNATIONAL LTD,sec_edgar,,
Invesco California Value Municipal Income Trust,sec_edgar,,
BlackRock Health Sciences Trust,sec_edgar,,
"ENNIS, INC.",sec_edgar,,
ONE LIBERTY PROPERTIES INC,sec_edgar,,
"HOME BANCORP, INC.",sec_edgar,,
"Ginkgo Bioworks Holdings, Inc.","sec_edgar,sec_edgar",,
Integra Resources Corp.,sec_edgar,,
Uranium Royalty Corp.,sec_edgar,,
Charming Medical Ltd,sec_edgar,,
Electrovaya Inc.,sec_edgar,,
New America Acquisition I Corp.,"sec_edgar,sec_edgar,sec_edgar",,
Eaton Vance Municipal Bond Fund,sec_edgar,,
EUROSEAS LTD.,sec_edgar,,
"ABERDEEN INDIA FUND, INC.",sec_edgar,,
INSTEEL INDUSTRIES INC,sec_edgar,,
SIERRA BANCORP,sec_edgar,,
"Contineum Therapeutics, Inc.",sec_edgar,,
Community Healthcare Trust Inc,sec_edgar,,
FTAI Infrastructure Inc.,sec_edgar,,
ETHAN ALLEN INTERIORS INC,sec_edgar,,
FIRST TRUST HIGH YIELD OPPORTUNITIES 2027 TERM FUND,sec_edgar,,
CRAWFORD & CO,"sec_edgar,sec_edgar",,
"Troops, Inc. /Cayman Islands/",sec_edgar,,
Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,sec_edgar,,
Orthofix Medical Inc.,sec_edgar,,
"Mayville Engineering Company, Inc.",sec_edgar,,
PIMCO MUNICIPAL INCOME FUND II,sec_edgar,,
PROTHENA CORP PUBLIC LTD CO,sec_edgar,,
Voya GLOBAL EQUITY DIVIDEND & PREMIUM OPPORTUNITY FUND,sec_edgar,,
ADURO CLEAN TECHNOLOGIES INC.,sec_edgar,,
"Rapid7, Inc.",sec_edgar,,
ANGIODYNAMICS INC,sec_edgar,,
"Cytek Biosciences, Inc.",sec_edgar,,
"Immix Biopharma, Inc.",sec_edgar,,
"PGIM Global High Yield Fund, Inc.",sec_edgar,,
BLACKROCK Ltd DURATION INCOME TRUST,sec_edgar,,
Rice Acquisition Corp 3,"sec_edgar,sec_edgar,sec_edgar",,
"MONRO, INC.",sec_edgar,,
CALAVO GROWERS INC,sec_edgar,,
Cooper-Standard Holdings Inc.,sec_edgar,,
"Strata Critical Medical, Inc.",sec_edgar,,
M Evo Global Acquisition Corp II,"sec_edgar,sec_edgar,sec_edgar",,
"Priority Technology Holdings, Inc.","sec_edgar,sec_edgar",,
YORK WATER CO,sec_edgar,,
OneSpan Inc.,sec_edgar,,
Advantage Solutions Inc.,sec_edgar,,
Roma Green Finance Ltd,sec_edgar,,
GigCapital8 Corp.,"sec_edgar,sec_edgar,sec_edgar",,
ORTHOPEDIATRICS CORP,sec_edgar,,
Bumble Inc.,sec_edgar,,
GP-Act III Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
First Mining Gold Corp.,sec_edgar,,
"Shattuck Labs, Inc.",sec_edgar,,
CI&T Inc,sec_edgar,,
"Angel Studios, Inc.",sec_edgar,,
Agriculture & Natural Solutions Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,
"Mativ Holdings, Inc.",sec_edgar,,
"FIRST BUSINESS FINANCIAL SERVICES, INC.",sec_edgar,,
CytoDyn Inc.,sec_edgar,,
TITAN INTERNATIONAL INC,sec_edgar,,
Crane Harbor Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
ZKH Group Ltd,sec_edgar,,
CHOICEONE FINANCIAL SERVICES INC,sec_edgar,,
"Weave Communications, Inc.",sec_edgar,,
"ACHIEVE LIFE SCIENCES, INC.",sec_edgar,,
"Gores Holdings X, Inc. / CI","sec_edgar,sec_edgar,sec_edgar",,
"Fulgent Genetics, Inc.",sec_edgar,,
Canopy Growth Corp,sec_edgar,,
Farmland Partners Inc.,sec_edgar,,
Nuveen Multi-Asset Income Fund,sec_edgar,,
SuperX AI Technology Ltd,sec_edgar,,
JOHN HANCOCK PREFERRED INCOME FUND III,sec_edgar,,
"Ocugen, Inc.",sec_edgar,,
Invesco Senior Income Trust,sec_edgar,,
INVESTORS TITLE CO,sec_edgar,,
Apex Treasury Corp,"sec_edgar,sec_edgar,sec_edgar",,
Ribbon Communications Inc.,sec_edgar,,
"International Money Express, Inc.",sec_edgar,,
"PubMatic, Inc.",sec_edgar,,
KKR Income Opportunities Fund,sec_edgar,,
Nuveen Taxable Municipal Income Fund,sec_edgar,,
"Seahawk Recycling Holdings, Inc.",sec_edgar,,
"Upstream Bio, Inc.",sec_edgar,,
BUILD-A-BEAR WORKSHOP INC,sec_edgar,,
Consolidated Water Co. Ltd.,sec_edgar,,
Better Home & Finance Holding Co,"sec_edgar,sec_edgar",,
Nexxen International Ltd.,sec_edgar,,
KAMADA LTD,sec_edgar,,
FIRST TRUST ENHANCED EQUITY INCOME FUND,sec_edgar,,
"Beta Bionics, Inc.",sec_edgar,,
"Nine Energy Service, Inc.",sec_edgar,,
FREEGOLD VENTURES LTD,sec_edgar,,
Nuveen Variable Rate Preferred & Income Fund,sec_edgar,,
"MediaAlpha, Inc.",sec_edgar,,
Gaotu Techedu Inc.,sec_edgar,,
"Orange County Bancorp, Inc. /DE/",sec_edgar,,
Eaton Vance Tax-Managed Buy-Write Income Fund,sec_edgar,,
STUDIO CITY INTERNATIONAL HOLDINGS Ltd,sec_edgar,,
"Ponce Financial Group, Inc.",sec_edgar,,
Summit Midstream Corp,sec_edgar,,
"Bakkt, Inc.","sec_edgar,sec_edgar",,
Docebo Inc.,sec_edgar,,
"Camping World Holdings, Inc.",sec_edgar,,
Ovid Therapeutics Inc.,sec_edgar,,
Z Squared Inc.,sec_edgar,,
"Energy Recovery, Inc.",sec_edgar,,
Karbon Capital Partners Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Backblaze, Inc.",sec_edgar,,
Caledonia Mining Corp Plc,sec_edgar,,
ACACIA RESEARCH CORP,sec_edgar,,
Costamare Bulkers Holdings Ltd,sec_edgar,,
"4D Molecular Therapeutics, Inc.",sec_edgar,,
Clean Energy Fuels Corp.,sec_edgar,,
"American Fusion, Inc.",sec_edgar,,
D. Boral ARC Acquisition I Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"GRAVITY Co., Ltd.",sec_edgar,,
Infinite Eagle Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Stitch Fix, Inc.",sec_edgar,,
M3-Brigade Acquisition VI Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"FRP HOLDINGS, INC.",sec_edgar,,
"Evolent Health, Inc.",sec_edgar,,
Autolus Therapeutics plc,sec_edgar,,
Monopar Therapeutics,sec_edgar,,
Talon Capital Corp.,"sec_edgar,sec_edgar,sec_edgar",,
JOHNSON OUTDOORS INC,sec_edgar,,
NRC HEALTH,sec_edgar,,
"Evolus, Inc.",sec_edgar,,
SHOE CARNIVAL INC,sec_edgar,,
"Alight, Inc. / Delaware",sec_edgar,,
LESAKA TECHNOLOGIES INC,sec_edgar,,
"KinderCare Learning Companies, Inc.",sec_edgar,,
Titan Machinery Inc.,sec_edgar,,
RARE ELEMENT RESOURCES LTD,sec_edgar,,
"Newegg Commerce, Inc.",sec_edgar,,
Idea Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"PGIM High Yield Bond Fund, Inc.",sec_edgar,,
"El Pollo Loco Holdings, Inc.",sec_edgar,,
Meshflow Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,
Cartesian Growth Corp III,"sec_edgar,sec_edgar,sec_edgar",,
MAGNA MINING INC.,sec_edgar,,
PARK OHIO HOLDINGS CORP,sec_edgar,,
"Powerfleet, Inc.",sec_edgar,,
LUXFER HOLDINGS PLC,sec_edgar,,
"Perspective Therapeutics, Inc.",sec_edgar,,
BGIN BLOCKCHAIN Ltd,sec_edgar,,
JOHN HANCOCK PREFERRED INCOME FUND,sec_edgar,,
GLADSTONE CAPITAL CORP,sec_edgar,,
KRAKacquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,
GREENE COUNTY BANCORP INC,sec_edgar,,
Varex Imaging Corp,sec_edgar,,
"Replimune Group, Inc.",sec_edgar,,
Neurogene Inc.,sec_edgar,,
"Codere Online Luxembourg, S.A.","sec_edgar,sec_edgar",,
"Gloo Holdings, Inc.",sec_edgar,,
"Fulcrum Therapeutics, Inc.",sec_edgar,,
Elmet Group Co.,sec_edgar,,
Angel Oak Financial Strategies Income Term Trust,sec_edgar,,
Eaton Vance Municipal Income Trust,sec_edgar,,
BlackRock Energy & Resources Trust,sec_edgar,,
"Mobia Medical, Inc.",sec_edgar,,
"STAR GROUP, L.P.",sec_edgar,,
ASPEN AEROGELS INC,sec_edgar,,
Emergent BioSolutions Inc.,sec_edgar,,
Bank of Marin Bancorp,sec_edgar,,
"Oncology Institute, Inc.","sec_edgar,sec_edgar,sec_edgar",,
Flaherty & Crumrine Dynamic Preferred & Income Fund Inc,sec_edgar,,
Praetorian Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"ASSEMBLY BIOSCIENCES, INC.",sec_edgar,,
MANITOWOC CO INC,sec_edgar,,
IBEX Ltd,sec_edgar,,
Cerence Inc.,sec_edgar,,
COLONY BANKCORP INC,sec_edgar,,
VOX ROYALTY CORP.,sec_edgar,,
"Micware Co., Ltd.",sec_edgar,,
"Microvast Holdings, Inc.","sec_edgar,sec_edgar",,
Sohu.com Ltd,sec_edgar,,
EUPRAXIA PHARMACEUTICALS INC.,sec_edgar,,
"Crescent Capital BDC, Inc.","sec_edgar,sec_edgar",,
"Forte Biosciences, Inc.",sec_edgar,,
Lifezone Metals Ltd,"sec_edgar,sec_edgar",,
"ATN International, Inc.",sec_edgar,,
"Bankwell Financial Group, Inc.",sec_edgar,,
"NATHANS FAMOUS, INC.",sec_edgar,,
Ucore Rare Metals Inc.,sec_edgar,,
STANDARD BIOTOOLS INC.,sec_edgar,,
K&F GROWTH ACQUISITION CORP. II,"sec_edgar,sec_edgar,sec_edgar",,
"New ERA Energy & Digital, Inc.","sec_edgar,sec_edgar",,
AMERICAN BATTERY TECHNOLOGY Co,sec_edgar,,
KKR Real Estate Finance Trust Inc.,"sec_edgar,sec_edgar",,
ADC Therapeutics SA,sec_edgar,,
Sagimet Biosciences Inc.,sec_edgar,,
Armada Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
3D SYSTEMS CORP,sec_edgar,,
Bank7 Corp.,sec_edgar,,
"Getty Images Holdings, Inc.",sec_edgar,,
COLUMBUS MCKINNON CORP,sec_edgar,,
"Sprout Social, Inc.",sec_edgar,,
"GRAY MEDIA, INC","sec_edgar,sec_edgar",,
GLADSTONE LAND Corp,"sec_edgar,sec_edgar,sec_edgar",,
"BLACKROCK MUNIASSETS FUND, INC.",sec_edgar,,
CROSS COUNTRY HEALTHCARE INC,sec_edgar,,
NVE CORP /NEW/,sec_edgar,,
Colombier Acquisition Corp. III,"sec_edgar,sec_edgar,sec_edgar",,
"Century Therapeutics, Inc.",sec_edgar,,
"InterPrivate Investment Partners V, Inc.",sec_edgar,,
CALERES INC,sec_edgar,,
GBank Financial Holdings Inc.,sec_edgar,,
"Vital Farms, Inc.",sec_edgar,,
"Cantor Equity Partners II, Inc.",sec_edgar,,
BTQ Technologies Corp.,sec_edgar,,
SCHMID Group N.V.,"sec_edgar,sec_edgar",,
WEST BANCORPORATION INC,sec_edgar,,
"BEYOND MEAT, INC.",sec_edgar,,
"Lexeo Therapeutics, Inc.",sec_edgar,,
"Lyell Immunopharma, Inc.",sec_edgar,,
Space Asset Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
NORTHWEST BIOTHERAPEUTICS INC,sec_edgar,,
"FrontView REIT, Inc.",sec_edgar,,
"Rare Earths Americas, Inc.",sec_edgar,,
RBB Bancorp,sec_edgar,,
FOSTER L B CO,sec_edgar,,
Cal Redwood Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Gevo, Inc.",sec_edgar,,
Bleichroeder Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
ContextLogic Holdings Inc.,sec_edgar,,
Agencia Comercial Spirits Ltd.,sec_edgar,,
PRIMEENERGY RESOURCES CORP,sec_edgar,,
Renatus Tactical Acquisition Corp I,"sec_edgar,sec_edgar,sec_edgar",,
New Providence Acquisition Corp. III/Cayman,"sec_edgar,sec_edgar,sec_edgar",,
"Global Indemnity Group, LLC",sec_edgar,,
COMMUNITY HEALTH SYSTEMS INC,sec_edgar,,
ENANTA PHARMACEUTICALS INC,sec_edgar,,
"RADIANT LOGISTICS, INC",sec_edgar,,
Churchill Capital Corp IX/Cayman,"sec_edgar,sec_edgar,sec_edgar",,
KNOT Offshore Partners LP,sec_edgar,,
North American Construction Group Ltd.,sec_edgar,,
Investar Holding Corp,sec_edgar,,
Zumiez Inc,sec_edgar,,
"BLACKROCK FLOATING RATE INCOME STRATEGIES FUND, INC.",sec_edgar,,
"Commercial Bancgroup, Inc.",sec_edgar,,
PGIM Short Duration High Yield Opportunities Fund,sec_edgar,,
Berto Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"BNY MELLON STRATEGIC MUNICIPALS, INC.",sec_edgar,,
"Lifeway Foods, Inc.",sec_edgar,,
Centurion Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Ranger Energy Services, Inc.",sec_edgar,,
"TruBridge, Inc.",sec_edgar,,
"SUJA LIFE, INC.",sec_edgar,,
ProCap Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,
"ONE STOP SYSTEMS, INC.",sec_edgar,,
Lafayette Digital Acquisition Corp. I,"sec_edgar,sec_edgar,sec_edgar",,
"BED BATH & BEYOND, INC.","sec_edgar,sec_edgar",,
M3-Brigade Acquisition V Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Quad/Graphics, Inc.",sec_edgar,,
"DELCATH SYSTEMS, INC.",sec_edgar,,
Zura Bio Ltd,sec_edgar,,
"Dave & Buster's Entertainment, Inc.",sec_edgar,,
"Inland Real Estate Income Trust, Inc.",sec_edgar,,
StealthGas Inc.,sec_edgar,,
Real Brokerage Inc,sec_edgar,,
Verano Holdings Corp.,sec_edgar,,
MGP INGREDIENTS INC,sec_edgar,,
Invesco Advantage Municipal Income Trust II,sec_edgar,,
Republic Digital Acquisition Co,"sec_edgar,sec_edgar,sec_edgar",,
NATURES SUNSHINE PRODUCTS INC,sec_edgar,,
Metals Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
Fiverr International Ltd.,sec_edgar,,
Terra Innovatum Global N.V.,sec_edgar,,
WEN Acquisition Corp,"sec_edgar,sec_edgar,sec_edgar",,
ALLSPRING INCOME OPPORTUNITIES FUND,sec_edgar,,
METHODE ELECTRONICS INC,sec_edgar,,
SES AI Corp,"sec_edgar,sec_edgar",,
PIMCO INCOME STRATEGY FUND,sec_edgar,,
"Artiva Biotherapeutics, Inc.",sec_edgar,,
"NewtekOne, Inc.","sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust,sec_edgar,,
Virtus Convertible & Income Fund,"sec_edgar,sec_edgar",,
AMC Global Media Inc.,sec_edgar,,
"Dine Brands Global, Inc.",sec_edgar,,
Pinewood Technologies Group plc,sec_edgar,,
"Climb Global Solutions, Inc.",sec_edgar,,
"Aeluma, Inc.",sec_edgar,,
BlueLinx Holdings Inc.,sec_edgar,,
"Greenwich LifeSciences, Inc.",sec_edgar,,
"Cohen & Steers Closed-End Opportunity Fund, Inc.",sec_edgar,,
Benitec Biopharma Inc.,sec_edgar,,
BrasilAgro - Brazilian Agricultural Real Estate Co,sec_edgar,,
CITIZENS & NORTHERN CORP,sec_edgar,,
Vuzix Corp,sec_edgar,,
Datavault AI Inc.,sec_edgar,,
SNDL Inc.,sec_edgar,,
"OmniAb, Inc.","sec_edgar,sec_edgar",,
"BLACKROCK MUNIYIELD NEW YORK QUALITY FUND, INC.",sec_edgar,,
"abrdn Emerging Markets ex-China Fund, Inc.",sec_edgar,,
HCM IV Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Aldabra 4 Liquidity Opportunity Vehicle, Inc.","sec_edgar,sec_edgar,sec_edgar",,
BOSTON OMAHA Corp,sec_edgar,,
Perion Network Ltd.,sec_edgar,,
Magnera Corp,sec_edgar,,
SOURCE CAPITAL /DE/,sec_edgar,,
NACCO INDUSTRIES INC,sec_edgar,,
Vanda Pharmaceuticals Inc.,sec_edgar,,
MOZAYYX Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"UNIVERSAL LOGISTICS HOLDINGS, INC.",sec_edgar,,
"VIEMED HEALTHCARE, INC.",sec_edgar,,
Gorilla Technology Group Inc.,"sec_edgar,sec_edgar",,
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",sec_edgar,,
"Blend Labs, Inc.",sec_edgar,,
PLUMAS BANCORP,sec_edgar,,
Civeo Corp,sec_edgar,,
ECARX Holdings Inc.,"sec_edgar,sec_edgar",,
Cellectis S.A.,sec_edgar,,
FutureCrest Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Alto Ingredients, Inc.",sec_edgar,,
ELITE PHARMACEUTICALS INC /NV/,sec_edgar,,
"Larimar Therapeutics, Inc.",sec_edgar,,
"Concrete Pumping Holdings, Inc.",sec_edgar,,
Paysafe Ltd,sec_edgar,,
"Pioneer Bancorp, Inc./MD",sec_edgar,,
Claritev Corp,sec_edgar,,
Fortress Value Acquisition Corp. V,sec_edgar,,
abrdn Global Premier Properties Fund,sec_edgar,,
Orion S.A.,sec_edgar,,
VALHI INC /DE/,sec_edgar,,
"PARKE BANCORP, INC.",sec_edgar,,
"Verastem, Inc.",sec_edgar,,
QUICKLOGIC Corp,sec_edgar,,
GENESCO INC,sec_edgar,,
Xperi Inc.,sec_edgar,,
"C4 Therapeutics, Inc.",sec_edgar,,
OneIM Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
Siddhi Acquisition Corp (Cayman Islands),"sec_edgar,sec_edgar,sec_edgar",,
GigCapital9 Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Opus Genetics, Inc.",sec_edgar,,
SARATOGA INVESTMENT CORP.,"sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Genie Energy Ltd.,sec_edgar,,
LIGHTBRIDGE Corp,sec_edgar,,
Currenc Group Inc.,sec_edgar,,
Alussa Energy Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
MYRIAD GENETICS INC,sec_edgar,,
"SYNTEC OPTICS HOLDINGS, INC.","sec_edgar,sec_edgar",,
"Yext, Inc.",sec_edgar,,
InflaRx N.V.,sec_edgar,,
WESTERN ASSET HIGH INCOME FUND II INC.,sec_edgar,,
NUVEEN NEW YORK QUALITY MUNICIPAL INCOME FUND,sec_edgar,,
Prelude Therapeutics Inc,sec_edgar,,
Xunlei Ltd,sec_edgar,,
OTG Acquisition Corp. I,"sec_edgar,sec_edgar,sec_edgar",,
"Airsculpt Technologies, Inc.",sec_edgar,,
High Templar Tech Ltd,sec_edgar,,
Titan Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
Drugs Made In America Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
KELLY SERVICES INC,"sec_edgar,sec_edgar",,
"PUMA BIOTECHNOLOGY, INC.",sec_edgar,,
"Avidia Bancorp, Inc.",sec_edgar,,
MATRIX SERVICE CO,sec_edgar,,
"X4 Pharmaceuticals, Inc",sec_edgar,,
Inflection Point Acquisition Corp. III,"sec_edgar,sec_edgar,sec_edgar",,
Nuveen Global High Income Fund,sec_edgar,,
TRX GOLD Corp,sec_edgar,,
Cohen Circle Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
NL INDUSTRIES INC,sec_edgar,,
Clinch Resources Ltd.,sec_edgar,,
BARINGS CORPORATE INVESTORS,sec_edgar,,
Allot Ltd.,sec_edgar,,
STARZ ENTERTAINMENT CORP /CN/,sec_edgar,,
Kochav Defense Acquisition Corp.,"sec_edgar,sec_edgar,sec_edgar",,
"Honest Company, Inc.",sec_edgar,,
SURO CAPITAL CORP.,"sec_edgar,sec_edgar",,
"NexPoint Real Estate Finance, Inc.","sec_edgar,sec_edgar",,
"BRC Group Holdings, Inc.","sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",,
Hennessy Capital Investment Corp. VIII,"sec_edgar,sec_edgar,sec_edgar",,
HAVERTY FURNITURE COMPANIES INC,"sec_edgar,sec_edgar",,
Primis Financial Corp.,sec_edgar,,
Archimedes Tech SPAC Partners III Co.,"sec_edgar,sec_edgar,sec_edgar",,
Pyrophyte Acquisition Corp. II,"sec_edgar,sec_edgar,sec_edgar",,
